ID;n_adults;n_children;weekend_nights;week_nights;meal_plan;car_parking_space;room_type;lead_time;year;month;date;market_segment;repeated_guest;previous_cancellations;previous_bookings_not_canceled;avg_room_price;special_requests;status
INN30165;2;2;1;4;Meal Plan 1;0;Room_Type 6;30;2018;2;8;Online;0;0;0;152.3;2;0
INN23198;2;0;0;4;Not Selected;0;Room_Type 1;3;2018;12;28;Online;0;0;0;95.2;0;0
INN00198;2;0;2;1;Meal Plan 1;0;Room_Type 1;109;2018;3;20;Offline;0;0;0;58.0;0;0
INN32678;2;0;1;2;Meal Plan 1;0;Room_Type 1;66;2017;10;9;Offline;0;0;0;75.0;0;1
INN33636;2;0;1;2;Meal Plan 1;0;Room_Type 1;89;2018;12;19;Offline;0;0;0;75.0;0;0
INN03651;2;0;1;3;Meal Plan 1;0;Room_Type 1;5;2017;8;24;Online;0;0;0;90.0;2;0
INN16929;1;0;0;1;Not Selected;0;Room_Type 1;183;2018;10;11;Online;0;0;0;98.1;0;1
INN27131;1;0;6;12;Meal Plan 1;0;Room_Type 1;1;2018;11;18;Online;0;0;0;77.44;1;1
INN11418;1;0;2;4;Meal Plan 1;0;Room_Type 1;245;2018;7;6;Offline;0;0;0;110.0;0;1
INN25832;2;0;2;3;Meal Plan 1;0;Room_Type 4;94;2017;12;24;Offline;0;0;0;60.0;0;0
INN03896;2;0;1;3;Not Selected;0;Room_Type 1;97;2017;12;28;Online;0;0;0;53.38;0;0
INN34358;1;0;0;3;Meal Plan 1;0;Room_Type 1;37;2018;10;13;Offline;0;0;0;95.0;0;0
INN18712;3;0;0;3;Meal Plan 1;0;Room_Type 4;116;2018;11;16;Online;0;0;0;122.4;1;1
INN00305;2;0;1;0;Meal Plan 1;0;Room_Type 1;10;2018;5;16;Online;0;0;0;103.0;0;0
INN32957;2;1;2;5;Meal Plan 1;0;Room_Type 1;147;2018;6;28;Online;0;0;0;106.25;2;0
INN23961;2;0;0;4;Meal Plan 1;0;Room_Type 4;64;2018;4;20;Online;0;0;0;114.33;1;1
INN15218;1;0;0;4;Meal Plan 2;0;Room_Type 1;296;2018;9;21;Offline;0;0;0;96.0;0;0
INN08141;2;0;0;2;Not Selected;0;Room_Type 1;74;2018;4;28;Online;0;0;0;77.62;0;0
INN00968;2;0;0;3;Meal Plan 2;0;Room_Type 1;150;2018;6;16;Offline;0;0;0;90.0;1;0
INN31827;1;0;0;1;Meal Plan 1;0;Room_Type 1;10;2018;11;10;Online;0;0;0;120.0;0;1
INN01654;2;0;1;4;Meal Plan 1;0;Room_Type 1;212;2018;8;22;Online;0;0;0;90.95;0;1
INN30672;2;0;1;2;Meal Plan 1;0;Room_Type 1;33;2018;6;20;Offline;0;0;0;85.5;0;0
INN24430;2;1;0;2;Meal Plan 1;0;Room_Type 1;33;2018;7;19;Online;0;0;0;134.1;0;1
INN08073;2;0;0;2;Meal Plan 1;0;Room_Type 1;37;2018;3;1;Online;0;0;0;81.9;1;1
INN21782;2;0;0;1;Not Selected;0;Room_Type 1;19;2018;7;29;Online;0;0;0;99.0;1;0
INN17283;2;0;2;0;Not Selected;0;Room_Type 1;14;2018;3;13;Online;0;0;0;97.0;0;0
INN13500;2;0;0;3;Not Selected;0;Room_Type 1;45;2018;10;11;Online;0;0;0;108.0;1;0
INN07020;1;0;1;1;Not Selected;0;Room_Type 1;62;2018;11;7;Online;0;0;0;143.2;0;0
INN04420;1;0;1;0;Meal Plan 1;0;Room_Type 1;10;2018;10;10;Corporate;0;0;0;89.0;0;0
INN10956;2;0;1;1;Meal Plan 2;0;Room_Type 1;117;2018;12;24;Online;0;0;0;127.8;1;1
INN12274;2;0;1;3;Meal Plan 1;0;Room_Type 1;12;2018;2;18;Online;0;0;0;91.0;0;0
INN28791;2;0;0;2;Meal Plan 1;0;Room_Type 4;49;2018;10;12;Online;0;0;0;139.5;4;0
INN20845;1;0;0;1;Meal Plan 1;0;Room_Type 1;22;2017;9;18;Online;0;0;0;114.0;0;0
INN32250;2;0;2;0;Meal Plan 1;0;Room_Type 1;146;2018;4;24;Online;0;0;0;107.0;1;1
INN24651;2;0;0;3;Meal Plan 1;0;Room_Type 4;11;2018;6;14;Corporate;0;0;0;90.0;0;1
INN07099;2;0;0;3;Meal Plan 1;0;Room_Type 1;17;2018;11;23;Online;0;0;0;104.0;2;0
INN27858;2;0;0;1;Meal Plan 2;0;Room_Type 1;13;2018;4;28;Online;0;0;0;169.0;0;1
INN33932;2;0;1;5;Not Selected;0;Room_Type 4;57;2017;12;29;Online;0;0;0;103.62;1;0
INN32271;2;0;0;2;Not Selected;0;Room_Type 1;5;2018;6;22;Online;0;0;0;122.0;1;0
INN29897;2;0;2;1;Not Selected;0;Room_Type 1;1;2018;4;23;Online;0;0;0;109.0;0;0
INN21467;2;0;2;1;Meal Plan 1;0;Room_Type 1;83;2018;12;18;Offline;0;0;0;75.0;0;0
INN31965;3;0;1;4;Meal Plan 1;0;Room_Type 4;220;2018;12;21;Online;0;0;0;104.55;0;0
INN19796;1;0;0;2;Meal Plan 1;0;Room_Type 1;298;2018;5;10;Offline;0;0;0;76.0;0;0
INN19132;3;0;0;1;Meal Plan 1;0;Room_Type 4;88;2018;8;19;Online;0;0;0;150.3;1;0
INN32137;2;0;0;3;Meal Plan 1;0;Room_Type 1;279;2018;10;12;Offline;0;0;0;110.0;0;1
INN24827;1;0;0;3;Meal Plan 1;0;Room_Type 1;308;2018;11;23;Online;0;0;0;78.3;2;1
INN32531;2;0;0;1;Meal Plan 1;0;Room_Type 4;54;2018;6;3;Online;0;0;0;149.4;0;0
INN15788;2;0;0;3;Meal Plan 1;0;Room_Type 1;111;2018;6;1;Offline;0;0;0;96.67;0;0
INN22990;2;0;1;1;Meal Plan 1;0;Room_Type 1;45;2018;11;19;Online;0;0;0;93.6;0;1
INN18044;2;0;0;2;Meal Plan 1;0;Room_Type 1;3;2018;11;18;Complementary;0;0;0;0.0;0;0
INN27627;2;0;2;4;Meal Plan 1;0;Room_Type 4;307;2018;9;11;Online;0;0;0;108.0;0;1
INN13392;2;0;1;0;Meal Plan 1;0;Room_Type 1;4;2018;1;25;Corporate;0;0;0;64.0;0;0
INN12809;1;0;1;2;Meal Plan 1;0;Room_Type 1;63;2018;3;11;Online;0;0;0;72.9;1;0
INN33797;2;1;2;2;Meal Plan 1;0;Room_Type 1;26;2018;8;7;Online;0;0;0;169.0;2;0
INN01351;2;0;0;2;Not Selected;0;Room_Type 1;64;2018;1;19;Online;0;0;0;65.36;2;0
INN32192;1;0;0;2;Meal Plan 1;0;Room_Type 4;123;2018;5;6;Online;0;0;0;117.3;1;0
INN00139;1;0;2;2;Meal Plan 1;0;Room_Type 1;82;2018;5;22;Online;0;0;0;109.65;0;0
INN05598;2;0;0;2;Meal Plan 1;0;Room_Type 1;317;2018;9;15;Online;0;0;0;120.0;0;1
INN27358;2;0;2;5;Meal Plan 1;0;Room_Type 1;163;2018;4;9;Online;0;0;0;73.37;1;0
INN21196;2;0;0;1;Not Selected;0;Room_Type 1;109;2018;7;27;Online;0;0;0;94.5;1;1
INN30516;2;1;0;3;Meal Plan 1;0;Room_Type 1;51;2017;10;21;Online;0;0;0;112.0;2;0
INN27966;2;0;1;1;Meal Plan 1;0;Room_Type 1;18;2018;3;19;Online;0;0;0;109.0;0;1
INN15484;2;0;0;1;Not Selected;0;Room_Type 1;139;2018;7;2;Online;0;0;0;85.5;0;1
INN07032;2;0;4;6;Not Selected;0;Room_Type 1;46;2018;12;18;Online;0;0;0;74.8;1;0
INN24322;2;0;0;3;Meal Plan 1;0;Room_Type 4;47;2018;9;1;Online;0;0;0;123.3;2;0
INN02470;2;2;2;3;Meal Plan 2;0;Room_Type 6;157;2018;8;19;Online;0;0;0;217.6;2;1
INN26527;1;0;1;0;Meal Plan 1;0;Room_Type 1;10;2017;10;18;Corporate;0;0;0;65.0;0;0
INN09156;2;0;0;3;Meal Plan 1;0;Room_Type 1;41;2018;11;2;Offline;0;0;0;75.0;0;0
INN09161;3;0;0;4;Meal Plan 1;0;Room_Type 4;98;2018;6;29;Online;0;0;0;146.7;0;1
INN04165;3;0;0;3;Meal Plan 1;0;Room_Type 4;155;2018;10;20;Online;0;0;0;142.83;0;1
INN24637;3;0;1;4;Not Selected;0;Room_Type 1;100;2018;7;6;Online;0;0;0;98.83;2;0
INN30845;2;0;0;1;Meal Plan 1;0;Room_Type 1;65;2018;9;6;Online;0;0;0;98.1;0;0
INN33744;2;0;2;2;Meal Plan 1;0;Room_Type 4;46;2018;10;2;Online;0;0;0;90.55;1;0
INN28103;2;0;0;2;Not Selected;0;Room_Type 1;50;2018;3;11;Online;0;0;0;48.6;0;0
INN09299;1;0;2;9;Meal Plan 1;0;Room_Type 1;55;2018;12;13;Online;0;0;0;74.8;1;0
INN11026;0;2;1;3;Meal Plan 1;0;Room_Type 2;182;2018;10;31;Online;0;0;0;83.5;1;0
INN09014;1;0;0;1;Meal Plan 1;0;Room_Type 1;8;2018;2;19;Corporate;0;0;0;81.0;0;0
INN13984;2;0;1;5;Meal Plan 1;0;Room_Type 1;32;2018;10;25;Online;0;0;0;92.88;0;0
INN32297;2;0;1;4;Meal Plan 1;0;Room_Type 1;3;2017;8;17;Corporate;0;0;0;119.0;0;1
INN04689;2;0;0;3;Meal Plan 1;0;Room_Type 1;44;2018;2;17;Offline;0;0;0;75.0;0;0
INN35970;2;0;1;1;Not Selected;0;Room_Type 1;1;2018;6;13;Online;0;0;0;79.0;1;0
INN21926;2;0;0;3;Meal Plan 1;0;Room_Type 4;64;2018;9;15;Online;0;0;0;149.4;2;0
INN25744;2;0;0;2;Meal Plan 2;0;Room_Type 1;256;2018;6;15;Offline;0;0;0;115.0;1;1
INN29020;2;0;1;3;Not Selected;0;Room_Type 1;45;2018;8;29;Online;0;0;0;101.03;0;0
INN34904;1;0;1;0;Meal Plan 1;1;Room_Type 1;3;2018;6;6;Corporate;1;0;3;65.0;0;0
INN07141;1;0;1;2;Meal Plan 1;0;Room_Type 1;180;2018;10;10;Online;0;0;0;120.0;0;1
INN00282;2;0;1;3;Not Selected;0;Room_Type 1;41;2018;5;9;Online;0;0;0;116.1;0;1
